ImageID,LabelName1,LabelName2,Height,Width,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
1159583,woman,coat,768,1024,627,881,156,677,630,850,232,413,the woman in the white coat is wearing a scarf
497929,woman,girl,683,1024,832,885,266,485,766,894,310,513,woman and girl is seen in the kitchen
2370643,boy,Woman,329,500,81,175,54,261,369,476,34,315,woman and boy is in this picture
1159738,truck,man,683,1024,313,677,219,511,644,792,293,436,the man towing the truck is wearing a shirt with orange stripes
1159748,groom,Bride,1024,683,146,396,164,801,196,637,190,1023,bride and groom are the adults in the picture
2371100,guy,boat,500,375,181,217,208,288,107,310,279,476,the guy standing on top of the boat as on a black belt
1159779,girlfriend,Boyfriend,1024,683,342,440,357,682,431,554,319,683,boyfriend and girlfriend are they
2371267,man,glasses,500,314,15,233,101,421,78,156,141,163,man with glasses is the subject of the picture
2371470,boy,girl,333,500,99,224,70,332,244,317,47,277,a boy and a girl is playing a video game
1159881,woman,jacket,777,1024,858,927,612,763,866,926,648,759,the woman in a black jacket is checking her phone
2372166,woman,hat,333,500,10,406,71,331,119,351,120,207,the woman in the hat is wearing a pink cardigan
1160075,woman,shirt,683,1024,4,192,151,562,29,162,223,391,the woman in the gray shirt appears to be pregnant
2373898,boy,boys,332,500,203,295,0,184,398,433,141,227,2 teenage boys is in the picture
2374203,man,motorcycle,333,500,221,357,29,288,44,469,84,331,the man on the motorcycle is wearing a helmet
2374300,man,black shorts,397,500,120,321,66,231,191,269,116,191,man in black shorts is riding the surfboard
2374422,man,sidewalk,372,500,20,57,124,216,0,500,188,325,man on the sidewalk is wearing shorts
2375533,girl,animal,283,500,177,221,129,256,238,333,171,246,a girl and an animal is the main focus of the photo
2375654,man,woman,334,500,303,317,9,53,330,351,10,51,man and woman is in the water
2376777,man,sunglasses,500,333,125,232,131,208,158,190,143,153,the man wearing cap and sunglasses is steering the train
2377111,man,sweatshirt,375,500,49,87,230,273,51,87,242,273,man in white sweatshirt sitting in the window
2377114,person,umbrella,347,500,209,243,154,217,186,227,144,174,the person holding the umbrella is walking
2377203,groom,Bride,500,375,119,200,203,415,152,278,209,499,bride and groom is eating cake
2377680,woman,man,375,500,111,355,113,373,0,358,86,377,man and woman is cutting the cake
2377932,man,hat,331,500,274,447,20,281,320,376,20,52,the man in the hat ns the dog
2378161,man,hat,500,375,0,257,56,431,154,246,54,139,the man with the white hat is carrying the large bag
1591809,woman,cake,683,1024,595,827,95,475,637,879,458,585,white woman cutting cake as a watch on
1591821,woman,street,480,640,3,67,207,436,2,639,310,478,a woman walking on the street is watching the cyclists
1591821,bride,groom,480,640,206,258,226,344,266,315,237,364,a bride and groom is riding a bicycle down the street
1591821,bikers,Bikers,480,640,206,258,226,344,266,315,237,364,bikers is the blonde woman looking at
1591825,Child,hand,540,800,386,485,238,413,399,415,310,340,child shaking man's hand as a mohawk
1591830,skier,coat,1024,683,220,353,781,988,222,331,779,898,a skier wearing a red coat is looking through a red backpack
1591965,Children,children,952,1024,471,1023,14,952,5,433,186,952,children is holding stuffed animals
1592008,man,dog,683,1024,650,712,347,532,675,715,489,573,man behind dog is wearing a lime green tank
1592021,girl,skirt,1024,768,203,359,386,874,241,361,556,696,girl in skirt is holding the umbrella
1592021,girl,shirt,1024,768,337,529,418,916,361,507,476,618,girl in yellow shirt is putting on a jacket
150268,woman,ground,1024,768,0,614,211,775,0,768,0,1024,a woman sitting on the ground is in the picture
1592089,Boy,skateboard,683,1024,112,313,186,581,22,131,407,546,boy with skateboard is in motion
1592098,tops,pants,768,1024,682,768,432,540,682,774,524,654,"a girl with layered pink tops, black hair and skinny pants is standing beside the girl in red shoes"
1592139,man,dog,737,1024,165,691,212,664,546,830,418,724,a man and a dog is in the boat
1592139,man,dog,737,1024,165,691,212,664,546,830,418,724,a man and a dog is on the boat
150355,person,shirt,1024,681,62,140,637,737,61,127,655,711,a person wearing a blue shirt is standing next to the car
150410,umpire,batter,642,1024,140,360,218,522,476,723,233,489,"a batter, a catcher and an umpire is shown in the foreground"
2378670,baby,mother,332,500,50,129,156,213,54,137,101,197,the mother and the baby is in the picture
1592252,child,Stroller,480,720,432,615,109,236,461,610,93,384,the child in the stroller is looking at the bulldog
1592252,child,Stroller,480,720,432,615,109,236,461,610,93,384,the child in the stroller is wearing a pink hat
150490,man,glasses,768,1024,537,803,137,768,630,706,171,192,a man with glasses on is drinking
150504,couch,boy,768,1024,81,905,318,694,667,930,200,648,a boy that is sitting on the right end of the couch is holding a laptop
1592396,man,belt,768,1024,373,878,121,766,407,596,604,644,the man with a studded belt is on the front of the bike
1592407,bus,man,683,1024,354,894,111,559,254,326,348,446,the man on the motorcycle is passing the bus is passing the bus
1592413,man,tie,683,1024,431,1023,0,682,677,735,279,681,the man with a tie as white hair
1592416,woman,man,1024,768,0,362,158,1022,356,762,54,1014,the woman and man is drinking white wine
1592456,man,chair,683,1024,326,461,174,424,331,442,241,397,the man in the chair is wearing white socks
1592462,man,straw hat,1024,685,282,560,365,966,348,494,358,443,man in straw hat is talking on the phone
1592462,man,hat,1024,685,282,560,365,966,348,494,358,443,man in hat is wearing sunglasses
1592462,man,hat,1024,685,282,560,365,966,348,494,358,443,the man with a hat is on a phone
1592524,player,ball,700,1053,443,606,231,608,464,478,136,150,the tennis player about to hit the ball as a green shirt
1592637,woman,back,683,1024,2,156,215,675,4,136,306,474,the woman with her back to the camera as a tattoo
1592637,gentleman,hat,683,1024,748,944,225,681,848,944,226,276,the gentleman wearing the hat in the far right appears to be happy
1592637,man,beard,683,1024,398,708,169,681,531,611,245,301,the man with a beard and mustache as the tie
1592637,man,blue sweater,683,1024,398,708,169,681,456,710,308,548,the man in the blue sweater as his left hand behind his back
1592670,blue top,helmet,768,1024,339,446,321,435,360,409,274,314,"a boy, wearing a blue top, shorts and a helmet is skateboarding up the street"
1592678,man,umbrella,741,1024,258,327,349,554,298,405,329,371,the man without an umbrella is wearing a white hat
1592695,man,woman,1024,768,153,416,116,887,371,637,159,850,both the man and woman are wearing ski gloves
1592866,man,bike,683,1024,187,434,101,632,0,602,290,625,the man on the bike is wearing blue jeans
2379362,sheep,person,375,500,107,294,183,343,0,140,133,347,person petting sheep is wearing jeans
1592944,man,wine,1280,899,318,859,165,1276,764,842,608,706,the man with the wine is the person in a pink shirt standing next to
1593076,woman,skirt,683,1024,210,243,303,422,208,236,365,409,a woman in a skirt is walking next to the tracks
1593091,male,female,850,1024,840,1006,191,723,60,517,17,835,a male and female is playing the video game
1593137,woman,bag,768,1024,745,829,314,540,740,854,572,591,a woman with a bag is holding up a cell phone
1593153,man,woman,1024,768,352,728,162,752,202,412,250,588,a man and a woman is standing in the kitchen
1593153,man,woman,1024,768,352,728,162,752,202,412,250,588,a man and a woman is standing in the kitchen
1593219,bride,Groom,960,1280,289,683,188,954,518,924,121,789,groom and bride are they
1593232,child,lady,678,1024,574,752,154,373,0,527,30,608,"a man, a lady, and a child is in the picture"
2379759,man,woman,375,500,0,218,21,375,230,498,28,336,a man and a woman is eating the pizza
2380333,man,woman,500,297,88,149,153,232,128,190,158,225,a man and woman is on the elephant
2380362,laptop,woman,332,500,159,289,212,306,129,334,59,293,woman on laptop as her hair in ponytail
2380589,man,field,375,500,155,366,80,368,0,499,128,363,the man on the field is throwing the ball
2381144,scissors,man,500,500,180,214,216,258,173,294,111,357,the man holding the scissors is in the center
2381169,woman,animal hat,185,500,249,348,34,185,250,328,34,81,woman with animal hat as an umbrella
2381228,coat,man,335,500,162,272,139,222,163,283,132,254,the man in the yellow coat is skiing
2381770,man,woman,375,500,302,418,226,348,228,335,209,312,a man and woman is sitting at the closest table
2381773,controller,person,400,500,280,328,68,205,267,455,95,291,a person holding a video game controller is in the picture
2382061,woman,motorbike,500,333,179,225,292,379,176,211,310,384,a woman on a motorbike is driving through the crosswalk
2382195,bride,groom,333,500,220,399,103,316,330,431,92,274,bride and groom is in the picture
2382315,boy,man,357,500,21,461,0,358,193,499,0,358,a man and boy are in the picture
2382327,Guy,coat,211,500,254,299,49,182,254,299,69,124,guy in blue coat is in the very center
2382505,man,shorts,375,500,391,498,0,192,403,490,50,120,the man wearing white shorts is walking in this photo
285615,man,table,1024,768,506,710,412,649,0,628,524,1028,one man at the table is wearing a surgical mask
2382823,female,frisbee,375,500,359,412,155,303,98,140,134,170,female playing frisbee is wearing swimsuit top
285691,father,son,680,1024,406,805,72,611,149,678,105,677,father and son are these people
285713,child,woman,768,1024,193,363,257,713,351,903,0,768,a child and a woman is in the picture
285772,car,person,768,1024,2,160,265,332,92,115,273,291,a person in a car is looking at the giraffes
285787,lady,glasses,683,1024,816,1023,110,650,821,897,172,219,the lady with glasses ears the denim jacket
285812,man,wristwatch,683,1024,0,811,37,679,106,227,609,681,man wearing wristwatch is eating hot dog
285826,bench,woman,786,1024,162,475,655,732,200,282,552,756,woman on bench as short hair
285845,player,brain,683,1024,158,313,248,502,239,275,250,292,"a player with a blonde brain, who is wearing white as orange and yellow cleats"
285845,player,soccer,683,1024,452,627,217,464,519,559,370,409,the soccer player is wearing number 15
285845,players,6,683,1024,158,313,248,502,216,238,305,334,players 8 and 6 is playing defense
2383016,cell phone,girl,449,500,233,241,179,197,191,271,160,282,a girl talking on her cell phone is on a bike
2383039,man,woman,357,500,0,300,32,352,0,401,77,352,a man and a woman is in the picture
285971,men,military men,1024,1024,598,1022,0,1024,253,445,199,649,two military men is practicing combat
286019,man,woman,765,1024,360,628,342,690,425,620,324,591,a man and a woman is sitting on the bench
286034,woman,shirt,768,1024,880,1018,192,713,937,1018,266,436,woman in red shirt is peeling a banana
286034,woman,waist,768,1024,270,407,207,591,310,391,370,397,the woman with the pink shirt tied around her waist is wearing a white hat
286086,man,shirt,768,1024,519,639,218,350,519,638,266,347,man in white and blue shirt is facing the camera
2383502,man,shirt,333,500,138,328,21,311,182,280,62,174,man with sony on shirt is holding a frisbee
2383924,woman,man,357,500,401,439,49,112,436,458,46,104,a man and woman is sitting on the bench
2383969,man,motorcycle,500,500,394,501,142,382,387,499,239,409,the man on the motorcycle is wearing a helmet
2384149,person,shirt,500,332,0,131,0,364,0,110,32,251,person in white shirt as on gray pants
2384276,woman,glasses,281,500,13,172,82,280,43,110,130,157,the woman with glasses is holding a sandwich
2384779,man,jacket,500,334,163,333,140,472,170,333,199,484,the man in the black jacket it's holding the wine glass
2385064,boy,woman,375,500,363,398,165,258,267,308,130,240,the boy in green and one woman is holding bats
2385730,man,jeans,375,500,90,280,20,325,92,226,170,303,a man in blue jeans is cutting the bike lock
2386250,woman,man,360,480,301,391,62,171,386,429,49,159,a man and a woman is pictured on the television
2386425,boy,bus,412,500,461,494,212,306,9,355,100,321,the boy by the bus is wearing black
2386574,woman,boy,374,500,97,141,119,273,71,94,240,272,a woman and boy are in the picture
2386660,man,shirt,331,500,223,276,194,296,222,263,207,251,man in blue shirt is talking on a cell phone
2386736,elephants,elephant,375,500,74,393,113,355,197,465,27,229,the elephants is in the water
2386815,man,shirt,333,500,305,382,121,333,306,381,157,207,the man in the black shirt is carrying the camera
2386876,person,wheelchair,375,500,281,376,89,208,280,406,108,280,a person in a wheelchair is in the picture
2387068,woman,beach,500,333,119,174,276,471,0,333,295,499,a woman on the beach is this
2387155,woman,man,375,500,39,241,34,360,263,477,3,353,a man and woman is at the table
2387367,woman,man,375,500,151,219,72,170,208,268,94,167,a man and a woman is riding the elephant
2387662,man,woman,375,500,359,408,241,348,393,420,243,344,man and woman is in the pic
2387780,man,trunks,375,500,292,433,47,297,218,360,272,286,a man in swim trunks is on the board
2388032,man,child,500,400,264,384,171,259,41,167,260,333,a man and child is in the photo
2388199,man,cap,333,500,223,245,124,230,231,245,123,137,a man with a blue baseball cap is standing behind the frisbee holder
2388698,teenager,skateboard,375,500,100,410,0,325,61,276,228,343,a teenager on a skateboard is in the forefront of the photo
2388701,person,jacket,500,375,18,50,185,258,18,50,193,225,person in white jacket is walking with a walker
2388715,woman,man,374,500,42,270,89,373,266,476,66,312,the man and the woman is looking at the camera
2388754,man,shirt,333,500,331,375,115,180,348,375,134,166,the man with the orange shirt as the paddle
2389126,man,woman,333,500,10,90,32,179,134,254,91,271,a woman and man is pictured
2389788,girl,man,375,500,151,227,158,371,168,331,98,372,the man and the girl is on the snow
2390494,horse,woman,393,500,76,364,141,352,209,261,89,268,a woman and a horse is featured in this photo
2390736,man,boy,281,500,55,107,66,207,178,267,116,202,a man and a boy is in the picture
2390894,boy,man,500,333,149,242,121,416,0,246,66,476,a man and a little boy is in the picture
2391216,Father,son,281,500,79,148,119,268,137,187,127,263,father and son are the people in the picture
2391782,boy,girl,374,500,389,416,214,333,413,488,234,360,a boy and a girl else in the picture
2392132,bride,groom,500,375,141,174,157,260,168,202,158,258,a bride and groom is on the cake
2392399,woman,coat,375,500,397,446,13,131,402,434,25,89,the woman in the black coat is walking the dog
2392714,man,woman,338,500,161,289,43,298,66,211,54,295,a man and woman is sitting on the steps
2392787,baby,mother,375,500,150,193,231,271,149,190,204,309,mother and baby is there
2392924,man,shorts,333,500,395,501,0,333,407,499,108,252,the man in the khaki shorts is standing
2392986,snow,snowboard,375,500,144,200,180,232,132,206,218,237,the man with the snowboard is sitting down
2393460,person,bike,500,375,154,195,253,361,155,195,302,374,the person on the bike is wearing a helmet
2393631,man,pizza,335,500,0,499,0,96,0,499,40,301,a man eating a pizza is in the picture is in the picture
2393691,boy,girl,333,500,290,448,1,309,125,285,100,255,a little boy and a little girl is in the picture is in the picture
2393744,man,woman,500,375,181,217,350,408,219,262,355,413,man and woman is in the picture
2394200,girl,skirt,500,375,94,180,177,456,95,177,305,389,girl in skirt is wearing glasses
2394245,man,woman,332,500,193,277,86,249,278,329,99,247,man and woman is sitting on the bench
2394324,man,shirt,375,500,0,440,39,374,0,440,217,374,the man in a black shirt is holding two phones
2394530,lady,shirt,375,500,333,460,0,304,373,459,67,192,a lady in a black shirt is waving
2394540,man,bike,333,500,324,456,23,308,280,476,140,325,man on bike is wearing a hat
2394540,blue shirt,man,333,500,195,292,44,141,194,291,11,277,man in blue shirt is taking a picture
2394602,man,hat,375,500,86,350,157,374,128,195,157,194,the man with the hat on is wearing a red shirt
2394827,girl,helmet,333,500,174,259,69,234,183,221,69,115,the girl wearing a helmet is riding the dirt bike
2395417,man,boy,500,399,138,223,70,359,200,275,152,361,a man and boy is standing in this picture
2395431,Man,bench,500,323,59,125,324,474,40,190,350,456,man sitting on bench is wearing a hat
2395830,woman,clothes,500,337,229,298,196,349,228,297,212,349,the woman in the far back right wearing black clothes is holding the pink umbrella
2396411,man,shirt,500,322,266,296,233,296,266,296,240,261,the man in a black shirt is watching the other field
2396943,lady,coat,375,500,424,462,123,216,423,465,140,215,lady in long black coat as orange bag
2398560,girl,guy,500,333,135,251,96,395,159,332,67,405,a girl and a guy is playing
2398580,woman,bench,375,500,136,311,121,355,172,484,176,370,the woman on the bench is looking at the camera
2398917,woman,sweater,332,500,0,268,0,330,0,239,113,329,the woman in a beige sweater is holding a wine glass
2398932,man,mirror,500,333,134,180,145,238,71,252,35,248,the man in the mirror took the picture
2398993,motorbike,man,500,500,238,500,422,500,250,445,376,499,man on motorbike is wearing a white helmet
2399167,man,green shirt,383,500,61,87,206,282,63,87,215,242,the man in the green shirt as a pink and grey backpack
2399755,woman,phone,333,500,205,305,8,332,260,265,39,51,the woman on the cell phone is in the middle
2399808,Woman,jacket,333,500,197,247,144,234,196,248,162,212,woman in black jacket is sitting on the ground
2400902,man,batter,328,500,74,138,101,270,315,417,135,302,man behind batter earing a flannel shirt
2401037,man,uniform,334,500,315,365,99,214,314,364,115,213,the man in the uniform ns this luggage
2401067,man,shirt,375,500,59,292,29,375,60,273,109,357,the man in the grey shirt is holding the gaming remote
2401369,woman,phone,313,500,109,345,13,312,205,221,99,122,a woman on a cell phone is in the forefront of the image
2401506,woman,shirt,375,500,236,497,0,375,323,498,239,374,the woman with the black shirt is making a face
2402060,man,shirt,333,500,310,450,74,332,322,426,105,230,the man in white shirt is standing on the right of picture
2402492,woman,shirt,375,500,140,262,89,181,157,261,137,180,a woman in a gray shirt is on the monitor
2402693,man,woman,500,374,130,211,54,151,128,220,139,186,a native american man and woman is in the painting
2402784,lady,visor,500,333,68,180,191,498,109,178,200,230,the lady with a visor is holding a tennis racket
2402886,man,shirt,375,500,387,414,173,237,386,411,184,209,the man with the red white and black shirt as a red suitcase
2403324,horse,man,500,333,40,294,107,499,12,331,2,499,man on horse is wearing sunglasses
2403590,man,glasses,333,500,50,188,54,332,126,142,93,106,a man with glasses is checking his cell phone
2403786,girl,skateboard,500,295,89,209,23,361,69,148,316,372,girl on skateboard is wearing black
2404561,man,pants,375,500,109,188,129,374,108,177,258,363,a man in tan pants isn't holding anything
2404804,woman,cat,375,500,0,438,0,369,0,207,202,374,woman and cat is awake
2404896,man,boy,333,500,49,397,15,220,223,442,72,241,both the man and boy is having a party
2405281,man,kite,500,333,162,177,377,404,78,129,63,171,a man that is kite surfing is in the picture is in the picture
2405332,stage,man,334,500,161,499,145,334,326,428,95,265,the man on the stage is holding the orange basketball
2405355,boy,shirt,500,333,65,202,125,353,121,185,130,203,a boy in a green shirt is on the rail
2405521,man,surfboard,500,333,230,255,398,463,199,279,402,441,man with surfboard is walking on the beach
2405654,man,beard,375,500,333,477,27,365,366,403,72,91,the man with the beard is holding the surfboard
2405742,little girl,woman,375,500,58,408,8,374,0,189,0,375,a little girl and a woman is in the picture is in the picture
2405773,girl,man,281,500,223,318,67,279,148,263,0,268,the man and girl is skiing
2405911,guy,girl,375,500,306,361,191,304,392,430,210,354,a guy and girl is looking at the surfboards
2405970,girl,car,331,500,208,296,70,188,0,497,0,328,girl sitting in middle of the car is wearing a blue headband
2406013,boy,shirt,375,500,342,434,109,233,355,428,151,233,a boy in white shirt is at the computer
2406033,man,suit,333,500,281,478,32,332,282,480,118,332,the man in the suit is smiling
2406348,man,shirt,375,500,378,392,279,296,380,389,283,294,a man in a red shirt is in the picture
2406549,woman,traffic light,333,500,0,42,172,332,0,19,102,127,a woman under the traffic light is holding a phone
2406621,person,hoodie,375,500,228,332,114,343,242,322,113,228,the person in the hoodie is playing tennis
2406973,man,street,375,500,1,46,100,257,0,500,83,374,man on the street is holding the red bag
2407605,dog,man,374,500,203,231,238,257,276,384,37,218,the elderly couple with their dog is looking at the man is looking at the man
2407665,man,hat,333,500,129,202,38,206,145,173,36,51,the man in a hat is walking outside of the crosswalk
2407815,truck,woman,332,500,0,242,0,120,176,203,13,86,woman by white truck is wearing a white shirt with arms in the air
2407984,man,woman,333,500,178,275,36,318,222,333,55,292,a man and a woman is in the picture
2408123,man,phone,313,500,276,284,95,128,280,281,98,100,the man on his phone is on the bridge
2408145,mother,child,375,500,386,414,273,334,413,429,299,334,a mother and child uld use this type of restroom
2408610,man,woman,309,500,39,157,66,238,140,281,99,241,man and woman is looking
2409005,girl,surfboard,333,500,241,328,56,240,191,328,236,259,the girl on a surfboard as their arms raised
2409110,person,shoes,500,375,0,297,125,500,95,284,127,360,the person with blue shoes is taking this picture
2409140,motorcycle,person,374,500,55,460,65,367,220,381,4,344,a person on the motorcycle is in the picture
2409269,woman,man,375,500,84,121,70,120,129,175,54,100,man and a woman is in the boats
2409428,woman,man,500,330,0,169,159,500,144,328,138,500,a man and a woman is in the picture
2409447,person,skateboard,333,500,27,179,0,260,73,177,125,271,a person with a skateboard is doing a trick
2409597,lady,tops,333,500,217,323,90,305,250,317,113,192,the lady with black tops leads in the walking
2411088,shirt,man,500,333,112,198,205,329,56,197,180,471,the man in the white shirt is holding the rooster
2411122,man,coat,500,333,222,239,340,383,222,239,344,366,a man with something under his coat is approaching
2411232,woman,sleeveless top,375,500,298,407,101,232,324,374,128,168,a woman in shorts and a red sleeveless top is on top of the horse
2411337,person,kite,432,288,222,232,329,365,86,143,14,62,a person flying a kite is holding a string
2411345,guy,shirt,333,500,31,146,101,331,72,131,151,248,the guy in the yellow shirt is fist pumping
2411533,mouse,dog,375,500,213,252,67,113,59,498,97,372,"dog, cat and a mouse else is in the picture"
2411631,guy,shirt,333,500,129,246,34,316,140,212,70,187,the guy with the white shirt as the ball
2411703,woman,shirt,357,500,171,292,24,306,167,266,63,198,that woman in the black shirt is on the motorcycle
2411753,girl,phone,500,500,329,488,118,344,341,376,212,244,the girl looking at her phone is not looking at the camera
2411811,woman,man,333,500,183,229,178,230,225,278,166,227,woman next to man in grey is wearing a red hat
2411900,woman,child,333,500,338,401,112,245,359,401,136,240,the woman in blue and child in green is in front
2412588,woman,glasses,500,375,198,331,187,378,233,266,205,225,woman in glasses is pointing
2412601,woman,child,375,500,146,423,37,374,125,345,129,374,a woman and a child is in this picture
2412845,man,boy,500,375,0,279,242,500,58,276,173,416,a man and a boy is in the photo
2412937,man,jacket,333,500,183,317,84,257,222,317,109,178,the man in the grey jacket is driving the motorcycle
2413122,person,hat,333,500,99,163,124,293,129,153,126,145,the person in the white hat is pushing a cart
2413459,man,feet,464,500,42,297,71,449,44,151,359,448,a man with bare feet is sitting in a cart
2413471,boy,pants,500,333,98,264,129,293,156,229,203,293,the boy in the black pants is skateboarding over the steps
2413477,cat,floor,500,375,23,190,49,252,0,176,0,500,the cat on the floor is the cat on the right looking at
2413479,person,table,500,333,20,300,0,188,0,331,163,500,person across the table is eating a pizza
2413875,woman,man,333,500,359,401,141,210,329,358,155,190,a woman and a man is crossing the intersection
2413982,man,suit,375,500,148,218,181,334,147,218,204,334,man in the floral suit is wearing sunglasses in the parade
2414441,woman,racket,500,333,18,110,49,360,31,78,0,86,the woman with the racket is about to hit the tennis ball
2414465,man,woman,332,500,156,500,0,332,0,325,94,331,the man and woman is eating the cake
2414696,man,motorcycle,201,500,254,262,88,102,243,267,93,107,a man on a motorcycle is by the ocean
2415002,man,hat,500,334,209,261,181,236,218,248,183,211,a man in a cowboy hat is on the tv
2415043,Girl,pants,337,500,289,315,127,195,292,314,161,193,girl with black pants is wearing orange
2416092,lady,dress,500,471,210,397,241,426,227,349,280,419,lady in tan dress is sitting
2416251,person,jacket,500,334,7,198,24,499,9,199,24,346,the person in a gray jacket is holding the yellow bag
712983,man,coat,768,1024,851,946,259,474,850,948,282,389,a man in a tan coat is walking towards the camera
712983,man,lady,768,1024,851,946,259,474,923,969,291,440,the lady behind the man in the forefront ears a red shirt and black jacket
713031,bike,man,683,1024,123,507,260,617,109,297,244,582,the man sitting on the blue bike is crossing their arms
713033,man,hat,1024,1024,539,811,219,1020,694,825,231,307,the man in the green hat is looking at the photographer
713047,lady,sweater,1024,768,256,350,448,720,253,356,488,583,lady with red sweater is carrying a shoulder purse
713052,fence,man,683,1024,0,1023,0,576,225,408,82,563,the man behind the fence is wearing a gray hat
713153,bench,woman,1024,837,266,844,374,872,64,726,43,1013,"the man on the green bench, beside the woman in the purple tights as curly hair"
2417101,man,shirt,500,247,62,176,135,445,61,175,177,280,man in yellow shirt is about the catch the frisbee
713171,man,suit,577,1024,0,128,178,579,0,128,255,579,a man in a blue suit as his back to us
713171,employee,camera,577,1024,265,475,178,579,407,446,377,430,the employee closest to the camera is wearing a watch
2417141,woman,pants,375,500,254,353,21,363,248,345,215,364,a woman in black pants as a kerchief on her head
713227,woman,child,1024,768,97,315,611,1019,385,637,714,948,a woman and child is on the couch
2417168,man,boy,333,500,189,309,29,319,256,336,127,332,the boy and the man is playing tennis
713237,man,cowboy hat,683,1024,744,892,143,409,752,833,143,196,the man with the cowboy hat as a jacket with a hood
713321,man,mantle,587,1024,804,927,308,539,714,953,155,288,the man by the mantle as a blue shirt
713338,floor,woman,768,1024,0,499,429,771,0,392,310,766,the woman on the floor is wearing the white t-shirt and blue pants
713415,tennis players,tennis player,349,1024,284,317,39,102,395,423,132,199,two of the tennis players are wearing red shirts
